  Applications in Wireless Networks	cs.LG	http://arxiv.org/abs/1410.4599v2
Arxiv	66dabd64d18e11ea9a8facde48001122	Efficient adaptive MCMC through precision estimation	stat.CO	http://arxiv.org/abs/1505.03908v2
Arxiv	688a68bcd18e11ea9a8facde48001122	Graph_sampler: a simple tool for fully Bayesian analyses of DAG-models	stat.CO	http://arxiv.org/abs/1505.07228v2
Arxiv	6a29373ed18e11ea9a8facde48001122	On the Computational Complexity of High-Dimensional Bayesian Variable
  Selection	math.ST	http://arxiv.org/abs/1505.07925v1
Arxiv	6bc92996d18e11ea9a8facde48001122	A New Approach to Probabilistic Programming Inference	stat.ML	http://arxiv.org/abs/1507.00996v2
Arxiv	6d6a6620d18e11ea9a8facde48001122	Fast sampling in a linear-Gaussian inverse problem	stat.CO	http://arxiv.org/abs/1507.01614v2
Arxiv	6f0b40b2d18e11ea9a8facde48001122	Fast Langevin based algorithm for MCMC in high dimensions	math.NA	http://arxiv.org/abs/1507.02166v3
Arxiv	70ac5f6ed18e11ea9a8facde48001122	Introduction to the variational and diffusion Monte Carlo methods	physics.chem-ph	http://arxiv.org/abs/1508.02989v1
Arxiv	724a374cd18e11ea9a8facde48001122	Fast, Flexible Models for Discovering Topic Correlation across
  Weakly-Related Collections	cs.CL	http://arxiv.org/abs/1508.04562v1
Arxiv	73ebe2b2d18e11ea9a8facde48001122	Extracting galactic binary signals from the first round of Mock LISA
  Data Challenges	gr-qc	http://arxiv.org/abs/0704.2917v1
Arxiv	76ec2bb6d18e11ea9a8facde48001122	Exact sampling for intractable probability distributions via a Bernoulli
  factory	stat.CO	http://arxiv.org/abs/1012.3768v2
Arxiv	78af9910d18e11ea9a8facde48001122	Bayesian estimation of GARCH model with an adaptive proposal density	q-fin.ST	http://arxiv.org/abs/1012.5986v2
Arxiv	7a431c48d18e11ea9a8facde48001122	MCMC for doubly-intractable distributions	stat.CO	http://arxiv.org/abs/1206.6848v1
Arxiv	7be7573ad18e11ea9a8facde48001122	General-Purpose MCMC Inference over Relational Structures	cs.AI	http://arxiv.org/abs/1206.6849v1
Arxiv	7d88922ad18e11ea9a8facde48001122	Skew-Gaussian Random Fields	stat.ME	http://arxiv.org/abs/1402.1138v1
Arxiv	7f297cd4d18e11ea9a8facde48001122	Stochastic Gradient Hamiltonian Monte Carlo	stat.ME	http://arxiv.org/abs/1402.4102v2
Arxiv	80c942e0d18e11ea9a8facde48001122	Learning From Ordered Sets and Applications in Collaborative Ranking	cs.LG	http://arxiv.org/abs/1408.0043v1
Arxiv	83194054d18e11ea9a8facde48001122	Fluctuation Analysis of Adaptive Multilevel Splitting	math.ST	http://arxiv.org/abs/1408.6366v3
Arxiv	84bcba3ad18e11ea9a8facde48001122	On Single Variable Transformation Approach to Markov Chain Monte Carlo	stat.ME	http://arxiv.org/abs/1408.6667v1
Arxiv	8669a988d18e11ea9a8facde48001122	Lifted Probabilistic Inference for Asymmetric Graphical Models	cs.AI	http://arxiv.org/abs/1412.0315v1
Arxiv	8986c43ed18e11ea9a8facde48001122	Bayesian estimation of discrete Burr distribution with two parameters	stat.CO	http://arxiv.org/abs/1501.05876v3
Arxiv	8b26c42ed18e11ea9a8facde48001122	Additional material on bounds of $\ell^2$-spectral gap for discrete
  Markov chains with band transition matrices	math.PR	http://arxiv.org/abs/1503.02206v2
Arxiv	8cc5aeb2d18e11ea9a8facde48001122	Perturbation theory for Markov chains via Wasserstein distance	stat.CO	http://arxiv.org/abs/1503.04123v3
Arxiv	8e643cd4d18e11ea9a8facde48001122	Light and Widely Applicable MCMC: Approximate Bayesian Inference for
  Large Datasets	stat.ME	http://arxiv.org/abs/1503.04178v2
Arxiv	90032226d18e11ea9a8facde48001122	Dynamic Models of Animal Movement with Spatial Point Process
  Interactions	stat.AP	http://arxiv.org/abs/1503.08692v3
Arxiv	91cd5590d18e11ea9a8facde48001122	A Time-varying Parameter Based Seasonally-adjusted Bayesian State-space
  Model for Forecasting	stat.ME	http://arxiv.org/abs/1512.02149v1
Arxiv	936e2668d18e11ea9a8facde48001122	Bayesian Covariance Modelling of Large Tensor-Variate Data Sets $\&$
  Inverse Non-parametric Learning of the Unknown Model Parameter Vector	stat.AP	http://arxiv.org/abs/1512.05538v1
Arxiv	9527e66ad18e11ea9a8facde48001122	Pseudolikelihood inference for Gibbsian T-tessellations ... and point
  processes	math.ST	http://arxiv.org/abs/1512.08407v2
Arxiv	96c8c84ad18e11ea9a8facde48001122	Distributed Averaging via Lifted Markov Chains	cs.IT	http://arxiv.org/abs/0908.4073v1
Arxiv	986a3828d18e11ea9a8facde48001122	Bayesian inference for a class of latent Markov models for categorical
  longitudinal data	stat.ME	http://arxiv.org/abs/1101.0391v2
Arxiv	9b7faf3ed18e11ea9a8facde48001122	Gradient Flow from a Random Walk in Hilbert Space	math.ST	http://arxiv.org/abs/1108.1494v4
Arxiv	9d20ad20d18e11ea9a8facde48001122	Improving Convergence Rate of Distributed Consensus Through Asymmetric
  Weights	math.OC	http://arxiv.org/abs/1203.2717v1
Arxiv	9ec2cb7cd18e11ea9a8facde48001122	Constraints on Cosmological Parameters from Strong Gravitational Lensing
  by Galaxy Clusters	astro-ph.CO	http://arxiv.org/abs/1204.0372v1
Arxiv	a062baf0d18e11ea9a8facde48001122	Dirichlet Posterior Sampling with Truncated Multinomial Likelihoods	stat.ME	http://arxiv.org/abs/1208.6537v2
Arxiv	a2055d22d18e11ea9a8facde48001122	Correlação de longa-duração e analíse bayesiana da
  evolução temporal dos terremotos ao longo da falha de samambaia,
  nordeste do brasil	physics.geo-ph	http://arxiv.org/abs/1306.4870v1
